Primary Key,Check-in location,Check-in date,Check-in time,Check-out date,Check-out time
1,CITY SQUARE MALL,20/1/2021,10:35:00 am,20/1/2021,11:00:00 am
2,BALESTIER PLAZA,20/1/2021,2:00:00 pm,20/1/2021,6:31:00 pm
3,SIT-NYP,21/1/2021,12:00:00 pm,21/1/2021,6:31:00 pm
4,JURONG POINT,21/1/2021,8:08:00PM,21/1/2021,8:38:00PM
5,JURONG POINT,25/1/2021,2:04:00 pm,25/1/2021,6:31:00 pm
6,JCUBE,28/1/2021,5:45:00 pm,28/1/2021,6:31:00 pm
7,SIT-NYP,29/1/2021,10:36:00 am,29/1/2021,2:01:00 pm
8,JURONG POINT,31/1/2021,5:39:00 pm,31/1/2021,7:00:00 pm
9,CITY SQUARE MALL,2/2/2021,5:53:00 pm,2/2/2021,7:10:00 pm
10,BALESTIER PLAZA,4/2/2021,5:39:00 pm,4/2/2021,8:00:00 pm
